 n  |      p=2        |              p=4            |              p = 8          |
----------------------------------------------------------------------------------|
    | comm=0 | comm=1 |  comm=0 |     comm = 1      |  comm=0 |     comm = 1      |
----------------------------------------------------------------------------------|
    |        |        |         |   D=1   |   D=H   |         |   D=1   |   D=H   |  
----------------------------------------------------------------------------------|
50  |   414  |   414  |   302   |   310   |   310   |   302   |   310   |   310   |
50  |   441  |   441  |   327   |   358   |   363   |   327   |   363   |   366   |
50  |   425  |   429  |   289   |   297   |   297   |   289   |   297   |   297   |
50  |   490  |   490  |   303   |   319   |   319   |   303   |   319   |   319   |
50  |   251  |   251  |   145   |   170   |   170   |   145   |   176   |   178   |
50  |   394  |   394  |   251   |   267   |   270   |   251   |   267   |   269   |
50  |   454  |   523  |   414   |   508   |   511   |   414   |   508   |   511   |
50  |   789  |   853  |   689   |   842   |   875   |   684   |   842   |   868   |
50  |   505  |   522  |   504   |   518   |   518   |   504   |   508   |   508   |
50  |   583  |   602  |   513   |   543   |   543   |   513   |   543   |   543   |
50  |   316  |   333  |   255   |   313   |   318   |   255   |   313   |   314   |
50  |   328  |   379  |   311   |   378   |   377   |   311   |   378   |   377   |
50  |   581  |   611  |   559   |   605   |   606   |   559   |   605   |   606   |
50  |  1070  |  1141  |  1070   |  1141   |  1141   |  1070   |  1141   |  1141   |
50  |   587  |   617  |   543   |   577   |   577   |   543   |   577   |   577   |
50  |   657  |   721  |   657   |   715   |   718   |   657   |   715   |   718   |
50  |   355  |   386  |   346   |   383   |   385   |   346   |   383   |   385   |
50  |   398  |   467  |   386   |   459   |   459   |   386   |   459   |   459   |
50  |   728  |   735  |   728   |   735   |   735   |   728   |   735   |   735   |
50  |  1011  |  1104  |  1006   |  1079   |  1079   |  1006   |  1079   |  1079   |
50  |   643  |   663  |   643   |   661   |   661   |   643   |   661   |   661   |
50  |   624  |   626  |   624   |   626   |   626   |   624   |   626   |   626   |
50  |   380  |   430  |   375   |   427   |   430   |   375   |   427   |   430   |
50  |   353  |   438  |   351   |   432   |   433   |   351   |   432   |   433   |
50  |   758  |   821  |   758   |   820   |   825   |   758   |   820   |   825   |
50  |  1220  |  1268  |  1220   |  1268   |  1268   |  1220   |  1268   |  1268   |
50  |   630  |   654  |   630   |   652   |   652   |   630   |   652   |   652   |
50  |   889  |   909  |   889   |   909   |   909   |   889   |   909   |   909   |
50  |   436  |   489  |   436   |   489   |   489   |   436   |   489   |   489   |
50  |   617  |   654  |   617   |   654   |   654   |   617   |   654   |   654   |
----------------------------------------------------------------------------------|
----------------------------------------------------------------------------------|
100 |   806  |   806  |   498   |   507   |   625   |   490   |   569   |   625   |
100 |  1513  |  1513  |  1032   |  1234   |  1234   |  1032   |  1234   |  1234   |   
100 |   811  |   811  |   501   |   529   |   541   |   486   |   504   |   523   |
100 |  1045  |  1045  |   528   |   539   |   549   |   526   |   564   |   589   |
100 |   507  |   507  |   328   |   342   |   401   |   328   |   335   |   393   |
100 |   662  |   662  |   416   |   521   |   536   |   413   |   519   |   526   |
100 |   987  |  1039  |   964   |  1017   |  1072   |   964   |  1023   |  1070   |
100 |  1742  |  1823  |  1742   |  1760   |  1945   |  1742   |  1751   |  1945   |
100 |   995  |  1036  |   995   |  1032   |  1035   |   995   |  1032   |  1035   |
100 |  1027  |  1045  |  1001   |  1008   |  1093   |  1001   |  1084   |  1093   |
100 |   555  |   626  |   550   |   594   |   698   |   550   |   559   |   708   |
100 |   772  |   865  |   747   |   815   |   876   |   747   |   815   |   876   |
