date,instance,makespan,cfg.ccr,total_iterTimes,optimal_iterTimes,randomSeed,total_time,optimal_time
22/05/01 14:23:42,t500_80_6,5895,0,256,53,1234,60.7502,13.075
22/05/01 14:28:11,t500_80_6,5894,0,3907,364,1234,60.3419,5.55706
22/05/01 16:47:50,t500_80_6,5931,0,36,35,1234,10.6369,10.1615
22/05/01 16:49:00,t500_80_6,5920,0,39,38,1234,10.3308,10.0782
22/05/01 16:49:33,t500_80_6,5920,0,39,38,1234,10.3092,10.0576
22/05/01 16:50:30,t500_80_6,5909,0,44,43,1234,10.3083,10.0733
22/05/01 17:01:22,t500_80_6,5894,0,531,364,1234,10.0322,6.89695
22/05/01 17:02:18,t500_80_6,5894,0,575,364,1234,10.0272,6.37376
22/05/01 19:02:39,t500_80_6,5894,0,464414,364,1234,7200.03,6.56219
22/05/16 16:54:17,t500_80_6,6695,1,36456,10420,100,600.531,171.32
22/05/16 17:07:17,t500_80_6,5894,0,31680,364,1234,600.043,6.48796
22/05/16 19:45:08,t50_20_1,414,1,13628,1758,1234,10.0061,1.24164
22/05/16 19:45:32,t50_20_6,394,1,193563,192,1234,10.0107,0.0081096
22/05/16 19:45:52,t50_80_6,667,1,50893,14057,1234,10.0063,2.8616
22/05/16 19:47:00,t50_80_6,646,1,344350,206082,1234,60.0052,36.2177
22/05/16 19:48:16,t100_80_6,1196,1,79364,735,1234,60.3004,0.595564
22/05/16 19:49:25,t200_80_6,2484,1,20152,11902,1234,60.3158,35.7738
22/05/16 19:50:39,t300_80_6,3568,1,9414,8691,1234,60.3018,55.5475
22/05/16 20:12:43,t50_80_6,646,1,176016,157037,1234,30.0058,26.7777
22/05/16 20:13:27,t50_80_6,648,1,148514,127083,1234,30.0068,25.621
22/05/16 20:16:35,t50_80_6,648,1,303320,127083,1234,60.0067,24.8474
22/05/16 20:18:50,t300_80_6,3585,1,9793,5586,1234,60.3104,34.0166
22/05/16 20:20:47,t300_80_6,3585,1,9154,5006,1234,60.3112,33.3813
22/05/16 20:22:01,t300_80_6,3788,1,10037,7109,1234,60.3063,42.7903
22/05/16 20:23:29,t300_80_6,3568,1,9473,8691,1234,60.3068,55.1583
22/05/16 20:24:27,t50_20_1,414,1,14992,1758,1234,10.0059,1.05736
22/05/16 20:24:50,t50_20_2,441,1,15056,4802,1234,10.0049,3.28799
22/05/16 20:25:29,t50_20_3,429,1,16763,2037,1234,10.0055,1.27658
22/05/16 20:25:54,t50_20_4,490,1,14225,44,1234,10.007,0.0402306
22/05/16 20:27:27,t300_80_5,3080,1,10149,2934,1234,60.3119,18.435
22/05/16 20:37:58,t500_80_6,6688,1,36421,28436,1234,600.325,463.749
